Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
32701R1D4	67083902	67083902	0.155061827210667	0.354928	0.92	30751077.0	58.226705417344384	0.002677194	5567065.0	61516837.0	100.0	99.97613173772247	0.809953866776343	61516837.0	78.72	30008373.0											
32701R1D4_1																	71.74379599727077	52.0	150.0	27.27272727272727	40794508.0	13.741621184237186	68.99299142982932	50.0	138.0295957892066	18.181818181818183	38121842.0
32701R1D4_2																	69.04557825321193	53.0	150.0	45.45454545454545	40794508.0	7.39834049884035	67.44018738835811	50.0	137.99969421729412	18.181818181818183	38121842.0
32701R3D4	49692037	49692037	0.0905181452969324	0.249346	1.33	23684975.0	70.68055592086112	0.002514426	2311031.0	47381006.0	100.0	99.97666575504961	0.3865198640991287	47381006.0	93.2	23327623.0											
32701R3D4_1																	63.52695003532946	53.0	150.0	27.27272727272727	26330742.0	9.902150725566337	61.15874233261591	52.0	141.69410077433344	18.181818181818183	25030302.0
32701R3D4_2																	59.98123864589938	54.0	150.0	36.36363636363637	26330742.0	5.123909636373584	58.55228101523633	52.0	141.6660687913394	18.181818181818183	25030302.0
32701R4D4	38640878	38640878	0.170037970411636	0.318919	0.92	18227804.0	63.32069369645276	0.002460835	2177416.0	36463462.0	100.0	99.97846062998626	0.4918348126132401	36463462.0	91.39	17900278.0											
32701R4D4_1																	74.39538594925354	58.0	150.0	45.45454545454545	28337627.0	34.744584035447524	60.97827381798225	50.0	141.15818112428218	18.181818181818183	19586275.0
32701R4D4_2																	67.77519938907436	63.0	150.0	45.45454545454545	28337627.0	4.184596331937039	58.496348573688515	51.0	141.09385730568982	18.181818181818183	19586275.0
3270R1D3	51010684	51010684	0.148862405779388	0.305108	0.87	23280965.0	62.38295883270257	0.002084164	4432886.0	46577798.0	100.0	99.96593226669926	0.8137868604265063	46577798.0	92.3	22667551.0											
